rank,feature_id,model_id,source_id,url,description,explanation_model,explanation_type,frac_nonzero,max_act_approx,positive_logits,negative_logits
11,3850,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/3850,instances of textual analysis and commentary about people and groups in political or social contexts,gpt-4o-mini,oai_token-act-pair,0.00455,45.934,▁***!:0.504 | ▁Hodgkin:0.496 | ichtlich:0.467 | ▁espero:0.457 | Hope:0.455 | ▁insensitive:0.445 | ially:0.445 | ContextHolder:0.443,▁CommonModule:-0.809 | ▁Cowley:-0.742 | ▁مرئيه:-0.672 | WebServlet:-0.645 | >*/:-0.629 | ▁StyleSheet:-0.625 | Autowired:-0.609 | featureID:-0.602
12,13854,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13854,phrases emphasizing caution and the need for careful interpretation in medical research,gpt-4o-mini,oai_token-act-pair,0.00322,92.122,▁caution:1.09 | ▁Caution:0.977 | ▁cautious:0.93 | ▁distrust:0.855 | ▁suspicion:0.855 | ▁cautiously:0.852 | ▁skepticism:0.84 | caution:0.836,DispatchToProps:-0.695 | Initializable:-0.625 | ▁combineReducers:-0.59 | LEncoder:-0.562 | strftime:-0.504 | LookAnd:-0.5 | abestanden:-0.496 | UnifiedTopology:-0.486
13,7965,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/7965,programming structures and function definitions,gpt-4o-mini,oai_token-act-pair,0.00293,48.82,Out:0.605 | ▁Out:0.539 | ▁out:0.527 | Life:0.461 | ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁:0.449 | ▁:0.443 | ▁n:0.436 | Round:0.432,+#+:-0.977 | elemField:-0.945 | ▁ſever:-0.902 | Personensuche:-0.898 | ▁مشين:-0.887 | تقاوى:-0.879 | ▁ſeveral:-0.875 | PerformLayout:-0.863
14,8775,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/8775,requests or commands directed at others,gpt-4o-mini,oai_token-act-pair,0.00369,81.003,▁shut:1.47 | ▁Shut:1.34 | Shut:1.33 | ▁stop:1.3 | shut:1.3 | ▁SHUT:1.2 | stop:1.19 | Stop:1.17,"DispatchToProps:-0.641 | ▁@""/:-0.633 | "">//:-0.594 | ▁jScrollPane:-0.57 | ▁naselje:-0.566 | MeasureSpec:-0.559 | Παραπομπές:-0.543 | ukkig:-0.539"
15,11414,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/11414,phrases that indicate opinions or assertions about the subject matter,gpt-4o-mini,oai_token-act-pair,0.01767,82.866,▁of:2.7 | of:1.51 | ▁Of:1.44 | Of:1.36 | ▁của:1.24 | ของ:1.12 | ▁OF:1.05 | tof:1,évaluateur:-0.559 | lgari:-0.551 | ſelves:-0.543 | Rohy:-0.539 | Demografía:-0.539 | windowFixed:-0.512 | Hentet:-0.504 | ▁pinulongan:-0.494
16,4339,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/4339,expressions indicating agreement or ongoing actions,gpt-4o-mini,oai_token-act-pair,0.00884,31.771,^(@):0.52 | ▁المعيارى:0.508 | ▁kullanılır:0.488 | ▁використову:0.467 | verwijspagina:0.461 | ılmaz:0.455 | ▁نداشته:0.443 | ▁dipasang:0.443,▁getting:-1.52 | ▁putting:-1.43 | ▁making:-1.41 | ▁doing:-1.39 | ▁taking:-1.39 | ▁submitting:-1.36 | ▁delivering:-1.32 | ▁releasing:-1.32
17,12002,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12002,financial terms and values associated with stock performance,gpt-4o-mini,oai_token-act-pair,0.09583,19.003,"évaluateur:0.727 | )"");:0.719 | "")));:0.68 | Personensuche:0.68 | +#+:0.668 | ')):0.645 | "")):0.625 | ""]):0.625",AttributeSet:-0.484 | ▁indicating:-0.439 | ết:-0.438 | ▁Prehistoric:-0.434 | VideoCapture:-0.43 | ▁Twelve:-0.43 | FieldDescriptor:-0.43 | ופי:-0.418
18,9001,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9001,specific characters and their representations in names and titles,gpt-4o-mini,oai_token-act-pair,0.00191,30.348,bootstrapcdn:0.467 | ▁Paglinawan:0.465 | expires:0.459 | ▁الحره:0.451 | expiresIn:0.451 | ▁disambiguazione:0.449 | HandlerContext:0.428 | systemctl:0.42,▁StatefulWidget:-0.594 | FunctionFlags:-0.59 | tvguidetime:-0.578 | AddAttribute:-0.57 | ibald:-0.566 | ▁ostavi:-0.562 | httphttps:-0.555 | parsedMessage:-0.555
19,9024,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9024,phrases that express desire or intention regarding collaboration and communication,gpt-4o-mini,oai_token-act-pair,0.0032,41.505,воро:0.41 | <bos>:0.385 | ▁InputDecoration:0.377 | ▁ye:0.367 | ح:0.365 | essura:0.363 | ▁нав:0.357 | 托:0.357,رشف:-0.953 | Tikang:-0.922 | Geplaatst:-0.895 | @[+][:-0.883 | tvguidetime:-0.828 | bootstrapcdn:-0.812 | twimg:-0.781 | windowFixed:-0.762
20,4326,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/4326,indicators of procedural processes and evaluations in contexts such as health and community services,gpt-4o-mini,oai_token-act-pair,0.00831,29.773,▁getItemCount:0.637 | ▁BoxFit:0.613 | ▁CreateTagHelper:0.57 | nvarchar:0.551 | ropoda:0.539 | SerializeField:0.535 | DataAnnotations:0.531 | Hochspringen:0.527,▁issuance:-0.945 | ▁issuing:-0.785 | ▁emergence:-0.73 | Issued:-0.691 | ▁creation:-0.68 | ▁imposition:-0.676 | ▁producing:-0.672 | ▁Producing:-0.645
21,11545,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/11545,references to credit reports and their related processes,gpt-4o-mini,oai_token-act-pair,0.00412,65.878,▁identity:0.77 | ▁credit:0.75 | AccessorTable:0.746 | ▁Identity:0.723 | Personendaten:0.684 | ▁Credit:0.656 | Identity:0.641 | identity:0.613,adaptiveStyles:-0.574 | ▁imageNamed:-0.543 | ▁ویکی‌پدیا:-0.516 | ▁defaultstate:-0.482 | ▁nakalista:-0.48 | ▁houſe:-0.479 | KommentareTeilen:-0.471 | mannschaft:-0.469
22,9149,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9149,key phrases related to established organizations and their foundations,gpt-4o-mini,oai_token-act-pair,0.00877,47.38,creativecommons:0.504 | 邦:0.449 | onghi:0.414 | ár:0.412 | ▁được:0.412 | ▁Er:0.398 | дон:0.389 | ▁Mühl:0.385,▁كومونز:-0.863 | ▁مشين:-0.793 | ніципалі:-0.785 | ▁myſelf:-0.77 | ▁itſelf:-0.742 | ▁ſeveral:-0.699 | ▁auffi:-0.699 | Vidite:-0.684
23,7531,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/7531,"sections of code, specifically highlighting variable declarations and control structures in programming",gpt-4o-mini,oai_token-act-pair,0.00251,63.959,iotensin:0.598 | Зноскі:0.57 | 出版年:0.52 | dehydes:0.508 | ▁plexus:0.498 | ▁linkovi:0.496 | ▁rhestr:0.49 | ▁кӀ:0.488,MethodManager:-0.582 | DeleteMapping:-0.547 | ▁exemplaires:-0.539 | bootstrapcdn:-0.527 | ponses:-0.527 | ▁guère:-0.504 | Versch:-0.504 | ▁betweenstory:-0.5
24,9135,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9135,references to file and package management in a coding environment,gpt-4o-mini,oai_token-act-pair,0.01968,13.052,tima:0.457 | ▁kho:0.416 | uden:0.402 | gah:0.398 | ▁into:0.395 | ▁I:0.391 | голов:0.389 | ▁Pits:0.379,▁оригіналу:-0.938 | MigrationBuilder:-0.871 | ▁purpoſe:-0.828 | ▁архивлан:-0.801 | UserScript:-0.797 | ंदीखरीदारी:-0.758 | PerformLayout:-0.754 | }{*}{:-0.746
25,13622,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13622,phrases related to limits and convergence in mathematical contexts,gpt-4o-mini,oai_token-act-pair,0.01569,110.903,▁zero:1.16 | ▁Zero:1.01 | ▁nulle:0.926 | zero:0.895 | ▁ZERO:0.875 | ▁zeroes:0.871 | ▁ну:0.863 | Zero:0.859,▁kasarigan:-0.641 | QMetaType:-0.605 | ▁ostavi:-0.543 | bigsqcup:-0.512 | Viki:-0.5 | ▁مشين:-0.496 | DataMember:-0.494 | cyklopedia:-0.49
26,5990,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/5990,"references to migration or transitions, particularly in a technological or procedural context",gpt-4o-mini,oai_token-act-pair,0.12127,21.775,",:0.371 | ▁in:0.342 | ▁de:0.338 | ▁for:0.324 | 1:0.318 | によっては:0.312 | ▁(:0.309 | 2:0.309",▁iſt:-1.18 | ▁houſe:-1.09 | WriteTagHelper:-1.05 | ▁Jefus:-1.02 | ▁purpoſe:-1.02 | ConstraintMaker:-1 | ▁ſmall:-1 | TagMode:-0.992
27,12652,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12652,elements related to API requests and responses in code,gpt-4o-mini,oai_token-act-pair,0.00713,19.71,"▁<="",:0.703 | Personendaten:0.699 | ▁propOrder:0.637 | AndEndTag:0.629 | ▁Мексичка:0.586 | rungsseite:0.562 | astéroïdes:0.504 | ▁ComVisible:0.492",▁response:-0.848 | Response:-0.801 | response:-0.766 | ▁Response:-0.746 | ▁reply:-0.727 | Resp:-0.719 | ▁responded:-0.699 | request:-0.688
28,1338,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/1338,titles and roles related to leadership in marketing,gpt-4o-mini,oai_token-act-pair,0.00227,60.028,▁officer:0.715 | ▁nahilalakip:0.652 | ▁Officer:0.641 | ▁OFFICER:0.555 | Officer:0.543 | officer:0.539 | ▁officers:0.527 | دانشنامهٔ:0.52,▁opening:-1.78 | ▁Opening:-1.66 | Opening:-1.61 | ▁OPENING:-1.59 | opening:-1.57 | ▁opened:-1.56 | ▁Opened:-1.49 | Opened:-1.41
29,321,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/321,phrases and connections related to reasoning and justification,gpt-4o-mini,oai_token-act-pair,0.00492,28.542,oredCriteria:0.75 | ⓧ:0.738 | ▁оригіналу:0.648 | createClass:0.621 | None:0.621 | rungsseite:0.613 | :✨:0.613 | ▁none:0.602,CGRectMake:-0.559 | ▁préfé:-0.555 | ométrique:-0.451 | ukkig:-0.449 | ▁préf:-0.449 | мум:-0.43 | ▁quelque:-0.426 | ▁ABBREVIATIONS:-0.422
30,12313,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12313,names of individuals and geographical locations,gpt-4o-mini,oai_token-act-pair,0.07758,17.809,▁nakalista:0.699 | LEncoder:0.582 | ▁Pyrr:0.578 | ▁protoimpl:0.555 | ▁eventdata:0.551 | ▁demografica:0.539 | endphp:0.535 | EndGlobalSection:0.527,▁CreateTagHelper:-0.57 | ▁مرئيه:-0.488 | letes:-0.484 | Portály:-0.477 | thouses:-0.473 | velocityX:-0.459 | ▁with:-0.457 | fjspx:-0.455
31,1813,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/1813,expressive statements of excitement and emotion,gpt-4o-mini,oai_token-act-pair,0.00286,36.712,▁lenker:0.637 | vertx:0.566 | ▁mergeFrom:0.551 | Obrázky:0.539 | шње:0.535 | ▁CANNOT:0.535 | polator:0.512 | ▁NOT:0.48,▁isn:-0.902 | :-0.867 | ▁weren:-0.816 | ▁aren:-0.812 | ▁hasn:-0.801 | ▁wasn:-0.801 | wouldn:-0.773 | wasn:-0.762
32,1100,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/1100,references to changes in technology and its implications,gpt-4o-mini,oai_token-act-pair,0.00251,35.073,▁completely:0.828 | ▁entirely:0.805 | ▁cas:0.789 | ▁totally:0.73 | ▁fully:0.684 | initComponents:0.684 | completely:0.672 | ▁Completely:0.668,djangoproject:-1.11 | ▁كومونز:-0.84 | ▁betweenstory:-0.816 | Portale:-0.789 | bootstrapcdn:-0.75 | ▁ostavi:-0.727 | ▁Wiktionnaire:-0.723 | addPreferredGap:-0.719
33,6289,gemma-2-2b,20-gemmascope-mlp-16k,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/6289,phrases related to organizational structure and leadership transitions,gpt-4o-mini,oai_token-act-pair,0.00316,41.862,▁club:0.793 | Club:0.77 | ▁Club:0.766 | ▁CLUB:0.68 | club:0.676 | ▁clubs:0.633 | ▁District:0.613 | ▁Clubs:0.609,IntoConstraints:-0.91 | FontOfSize:-0.719 | ▁ModelExpression:-0.691 | AccessorTable:-0.68 | الحياه:-0.652 | tagHelperRunner:-0.652 | Παραπομπές:-0.652 | ▁invokingState:-0.637
